,volume,timestamp,price,high,low,open,change,coin
0,19.70M,2022-09-07,0.03718,0.0385,0.03516,0.03684,0.92%,
1,19.70M,2022-09-07,0.03718,0.0385,0.03516,0.03684,0.92%,
2,18.96M,2022-09-06,0.03684,0.04087,0.0367,0.03915,-5.90%,
3,18.96M,2022-09-06,0.03684,0.04087,0.0367,0.03915,-5.90%,
4,21.20M,2022-09-05,0.03915,0.04102,0.03544,0.03742,4.62%,
5,21.20M,2022-09-05,0.03915,0.04102,0.03544,0.03742,4.62%,
6,19.12M,2022-09-04,0.03742,0.03865,0.0366,0.0372,0.48%,
7,23.08M,2022-09-03,0.03724,0.04059,0.0367,0.03847,-3.52%,
8,35.00M,2022-09-02,0.0386,0.0585,0.03535,0.03674,4.89%,
9,35.00M,2022-09-02,0.0386,0.0585,0.03535,0.03674,4.89%,
10,19.27M,2022-09-01,0.0368,0.04022,0.03542,0.0367,0.27%,
11,19.27M,2022-09-01,0.0368,0.04022,0.03542,0.0367,0.27%,
12,5.35M,2022-08-31,0.0367,0.03766,0.03501,0.03743,-1.95%,
13,5.35M,2022-08-31,0.0367,0.03766,0.03501,0.03743,-1.95%,
14,6.55M,2022-08-30,0.03743,0.0406,0.0356,0.03995,-6.31%,
15,13.17M,2022-08-29,0.03995,0.04033,0.03801,0.0386,3.50%,
16,12.30M,2022-08-28,0.0386,0.045,0.03563,0.03642,5.99%,
17,573.24K,2022-08-27,0.03642,0.03931,0.03456,0.03668,-1.06%,
18,627.31K,2022-08-26,0.03681,0.03914,0.03674,0.03891,-5.40%,
19,11.58M,2022-08-25,0.03891,0.04215,0.0389,0.03968,-1.94%,
20,18.95M,2022-08-24,0.03968,0.04303,0.03948,0.04196,-5.43%,
21,20.29M,2022-08-23,0.04196,0.04668,0.0398,0.0401,4.64%,
22,19.74M,2022-08-22,0.0401,0.04336,0.04008,0.04262,-5.91%,
23,21.23M,2022-08-21,0.04262,0.052,0.04095,0.04306,-1.02%,
24,21.23M,2022-08-21,0.04262,0.052,0.04095,0.04306,-1.02%,
25,12.23M,2022-08-20,0.04306,0.04648,0.03942,0.04499,-4.29%,
26,12.23M,2022-08-20,0.04306,0.04648,0.03942,0.04499,-4.29%,
27,26.97M,2022-08-19,0.04499,0.05683,0.0449,0.05461,-17.31%,
28,26.97M,2022-08-19,0.04499,0.05683,0.0449,0.05461,-17.31%,
29,41.20M,2022-08-18,0.05441,0.0715,0.03683,0.03683,47.73%,
30,8.82M,2022-08-17,0.03683,0.03793,0.03573,0.0358,2.82%,
31,7.96M,2022-08-16,0.03582,0.03793,0.03519,0.03754,-4.66%,
32,7.96M,2022-08-16,0.03582,0.03793,0.03519,0.03754,-4.66%,
33,8.60M,2022-08-15,0.03757,0.03904,0.03706,0.03732,0.67%,
34,8.60M,2022-08-15,0.03757,0.03904,0.03706,0.03732,0.67%,
35,7.86M,2022-08-14,0.03732,0.0401,0.03714,0.0394,-5.28%,
36,7.86M,2022-08-14,0.03732,0.0401,0.03714,0.0394,-5.28%,
37,7.16M,2022-08-13,0.0394,0.03958,0.03934,0.0394,0.00%,
38,7.16M,2022-08-13,0.0394,0.03958,0.03934,0.0394,0.00%,
39,4.08M,2022-08-12,0.0394,0.0396,0.03936,0.03942,-0.05%,
40,4.08M,2022-08-12,0.0394,0.0396,0.03936,0.03942,-0.05%,
41,6.69M,2022-08-11,0.03942,0.03969,0.03938,0.03948,-0.15%,
42,6.69M,2022-08-11,0.03942,0.03969,0.03938,0.03948,-0.15%,
43,6.67M,2022-08-10,0.03948,0.04004,0.03922,0.03939,0.23%,
44,6.67M,2022-08-10,0.03948,0.04004,0.03922,0.03939,0.23%,
45,7.34M,2022-08-09,0.03939,0.04157,0.03911,0.04096,-3.83%,
46,7.34M,2022-08-09,0.03939,0.04157,0.03911,0.04096,-3.83%,
47,6.71M,2022-08-08,0.04096,0.04232,0.04056,0.04189,-2.22%,
48,7.01M,2022-08-07,0.04189,0.04264,0.03989,0.04084,2.57%,
49,5.70M,2022-08-06,0.04084,0.04197,0.03908,0.04048,0.89%,
50,5.05M,2022-08-05,0.04048,0.04152,0.0393,0.04033,0.35%,
51,6.49M,2022-08-04,0.04034,0.04493,0.03884,0.0422,-4.38%,
52,5.77M,2022-08-03,0.04219,0.04506,0.03883,0.04064,3.81%,
53,4.81M,2022-08-02,0.04064,0.0418,0.0383,0.03959,2.65%,
54,3.84M,2022-08-01,0.03959,0.0413,0.03802,0.03996,-0.93%,
55,3.85M,2022-07-31,0.03996,0.043,0.03891,0.03979,0.45%,
56,3.69M,2022-07-30,0.03978,0.04234,0.0382,0.03954,0.61%,
57,3.26M,2022-07-29,0.03954,0.04076,0.03878,0.0406,-2.61%,
58,3.11M,2022-07-28,0.0406,0.04306,0.0375,0.03977,2.09%,
59,3.01M,2022-07-27,0.03977,0.04046,0.037,0.03929,1.22%,
60,3.01M,2022-07-26,0.03929,0.04148,0.03891,0.0404,-2.70%,
61,2.74M,2022-07-25,0.04038,0.04274,0.0403,0.04259,-5.19%,
62,3.32M,2022-07-24,0.04259,0.04574,0.04123,0.04224,0.83%,
63,2.74M,2022-07-23,0.04224,0.04342,0.04161,0.0434,-2.36%,
64,1.57M,2022-07-22,0.04326,0.04444,0.04161,0.04351,-0.57%,
65,1.57M,2022-07-22,0.04326,0.04444,0.04161,0.04351,-0.57%,
66,211.74K,2022-07-21,0.04351,0.04452,0.04234,0.04432,-1.83%,
67,211.74K,2022-07-21,0.04351,0.04452,0.04234,0.04432,-1.83%,
68,490.74K,2022-07-20,0.04432,0.04636,0.04303,0.04636,-4.40%,
69,490.74K,2022-07-20,0.04432,0.04636,0.04303,0.04636,-4.40%,
70,901.69K,2022-07-19,0.04636,0.04912,0.04321,0.04321,7.29%,
71,901.69K,2022-07-19,0.04636,0.04912,0.04321,0.04321,7.29%,
72,1.21M,2022-07-18,0.04321,0.048,0.04208,0.0422,2.39%,
73,1.61M,2022-07-17,0.0422,0.04804,0.04,0.04274,-1.26%,
74,360.39K,2022-07-16,0.04274,0.0449,0.04159,0.04336,-1.43%,
75,192.09K,2022-07-15,0.04336,0.04463,0.04194,0.04389,-0.55%,
76,112.67K,2022-07-14,0.0436,0.04415,0.04227,0.04277,1.94%,
77,173.03K,2022-07-13,0.04277,0.04389,0.04165,0.04389,-2.55%,
78,232.26K,2022-07-12,0.04389,0.04724,0.043,0.04441,-1.17%,
79,462.11K,2022-07-11,0.04441,0.04749,0.04356,0.04383,1.32%,
80,368.88K,2022-07-10,0.04383,0.04651,0.04295,0.04462,-1.77%,
81,186.34K,2022-07-09,0.04462,0.04598,0.04403,0.04466,-0.09%,
82,276.87K,2022-07-08,0.04466,0.04576,0.04386,0.04386,1.82%,
83,1.53M,2022-07-07,0.04386,0.05133,0.04151,0.04448,-1.39%,
84,1.31M,2022-07-06,0.04448,0.04944,0.04068,0.04574,-2.75%,
85,455.56K,2022-07-05,0.04574,0.0464,0.04335,0.04582,-0.17%,
86,318.15K,2022-07-04,0.04582,0.04832,0.045,0.04656,-1.59%,
87,222.68K,2022-07-03,0.04656,0.04755,0.04515,0.04598,1.26%,
88,124.91K,2022-07-02,0.04598,0.04712,0.04488,0.04557,0.90%,
89,280.71K,2022-07-01,0.04557,0.04862,0.04557,0.04571,-0.31%,
90,280.71K,2022-07-01,0.04557,0.04862,0.04557,0.04571,-0.31%,
91,110.24K,2022-06-30,0.04571,0.04743,0.0451,0.04721,-3.18%,
92,110.24K,2022-06-30,0.04571,0.04743,0.0451,0.04721,-3.18%,
93,149.18K,2022-06-29,0.04721,0.04855,0.04624,0.04808,-1.81%,
94,149.18K,2022-06-29,0.04721,0.04855,0.04624,0.04808,-1.81%,
95,230.05K,2022-06-28,0.04808,0.04973,0.04628,0.04782,0.54%,
96,230.05K,2022-06-28,0.04808,0.04973,0.04628,0.04782,0.54%,
97,495.01K,2022-06-27,0.04782,0.05,0.0455,0.04904,-2.49%,
98,262.24K,2022-06-26,0.04904,0.05144,0.04874,0.05094,-3.73%,
99,1.32M,2022-06-25,0.05094,0.05906,0.04867,0.05035,1.17%,
100,630.05K,2022-06-24,0.05035,0.05168,0.04665,0.04772,5.51%,
101,603.67K,2022-06-23,0.04772,0.04982,0.04515,0.04807,-0.73%,
102,336.77K,2022-06-22,0.04807,0.04848,0.04568,0.04688,2.54%,
103,585.31K,2022-06-21,0.04688,0.05006,0.04547,0.04829,-2.92%,
104,901.07K,2022-06-20,0.04829,0.051,0.04235,0.04961,-2.66%,
105,2.65M,2022-06-19,0.04961,0.05401,0.041,0.04369,13.55%,
106,671.62K,2022-06-18,0.04369,0.04616,0.0404,0.04616,-5.35%,
107,369.25K,2022-06-17,0.04616,0.04886,0.04596,0.04646,-0.65%,
108,630.99K,2022-06-16,0.04646,0.05113,0.04599,0.05,-7.08%,
109,2.73M,2022-06-15,0.05,0.05676,0.04306,0.04683,6.77%,
110,3.52M,2022-06-14,0.04683,0.06271,0.04066,0.04188,11.82%,
111,747.74K,2022-06-13,0.04188,0.05296,0.04172,0.05296,-20.92%,
112,656.92K,2022-06-12,0.05296,0.05537,0.052,0.05435,-2.56%,
113,2.00M,2022-06-11,0.05435,0.06474,0.05075,0.06024,-9.78%,
114,1.09M,2022-06-10,0.06024,0.0649,0.05914,0.06106,-1.34%,
115,2.82M,2022-06-09,0.06106,0.06796,0.05771,0.06438,-5.16%,
116,1.41M,2022-06-08,0.06438,0.0664,0.05885,0.06031,6.75%,
117,3.37M,2022-06-07,0.06031,0.07112,0.05816,0.06183,-2.46%,
118,1.46M,2022-06-06,0.06183,0.0658,0.0583,0.05998,3.08%,
119,575.39K,2022-06-05,0.05998,0.0615,0.05749,0.06014,-0.27%,
120,657.21K,2022-06-04,0.06014,0.06236,0.0576,0.05797,3.74%,
121,716.68K,2022-06-03,0.05797,0.0634,0.0566,0.05836,-0.67%,
122,422.55K,2022-06-02,0.05836,0.05897,0.05633,0.05895,-0.97%,
123,623.71K,2022-06-01,0.05893,0.06067,0.0571,0.06016,-2.04%,
124,1.67M,2022-05-31,0.06016,0.0643,0.05661,0.06393,-5.90%,
125,1.35M,2022-05-30,0.06393,0.06576,0.06063,0.06276,1.86%,
126,1.01M,2022-05-29,0.06276,0.06344,0.05962,0.06315,-0.62%,
127,1.05M,2022-05-28,0.06315,0.06698,0.0617,0.06381,-1.03%,
128,1.58M,2022-05-27,0.06381,0.0695,0.0606,0.06439,-0.90%,
129,4.19M,2022-05-26,0.06439,0.07711,0.0616,0.06298,2.24%,
130,762.42K,2022-05-25,0.06298,0.065,0.05982,0.0624,0.93%,
131,762.42K,2022-05-25,0.06298,0.065,0.05982,0.0624,0.93%,
132,1.05M,2022-05-24,0.0624,0.06478,0.0576,0.05928,5.26%,
133,1.05M,2022-05-24,0.0624,0.06478,0.0576,0.05928,5.26%,
134,2.40M,2022-05-23,0.05928,0.06998,0.05841,0.06274,-5.51%,
135,2.40M,2022-05-23,0.05928,0.06998,0.05841,0.06274,-5.51%,
136,8.33M,2022-05-22,0.06274,0.08304,0.0548,0.06396,-1.91%,
137,13.13M,2022-05-21,0.06396,0.1248,0.04952,0.04952,29.16%,
138,1.91M,2022-05-20,0.04952,0.05673,0.0479,0.05551,-10.50%,
139,2.41M,2022-05-19,0.05533,0.058,0.04961,0.0506,9.35%,
140,2.04M,2022-05-18,0.0506,0.06,0.04879,0.05508,-8.13%,
141,7.38M,2022-05-17,0.05508,0.08,0.04822,0.04881,12.85%,
142,2.37M,2022-05-16,0.04881,0.05113,0.045,0.05013,-2.28%,
143,2.62M,2022-05-15,0.04995,0.05637,0.04196,0.04489,10.26%,
144,4.43M,2022-05-14,0.0453,0.068,0.037,0.05565,-18.60%,
145,8.41M,2022-05-13,0.05565,0.08273,0.02212,0.02525,136.71%,
146,2.61M,2022-05-12,0.02351,0.05128,0.02297,0.03772,-38.23%,
147,3.51M,2022-05-11,0.03806,0.08464,0.0335,0.07619,-50.05%,
148,5.38M,2022-05-10,0.07619,0.102,0.06011,0.06895,10.42%,
149,2.97M,2022-05-09,0.069,0.10893,0.06435,0.0924,-25.32%,
150,5.00M,2022-05-08,0.0924,0.12891,0.09098,0.101,-8.57%,
151,12.15M,2022-05-07,0.10106,0.13672,0.08863,0.10851,-6.87%,
152,16.49M,2022-05-06,0.10851,0.17124,0.08156,0.0955,13.62%,
153,16.49M,2022-05-06,0.10851,0.17124,0.08156,0.0955,13.62%,
154,8.66M,2022-05-05,0.0955,0.1366,0.08345,0.13096,-27.10%,
155,8.66M,2022-05-05,0.0955,0.1366,0.08345,0.13096,-27.10%,
156,43.22M,2022-05-04,0.131,0.229,0.068,0.07432,76.24%,
157,43.22M,2022-05-04,0.131,0.229,0.068,0.07432,76.24%,
158,6.76M,2022-05-03,0.07433,0.1166,0.03791,0.03832,93.97%,
159,6.76M,2022-05-03,0.07433,0.1166,0.03791,0.03832,93.97%,
160,765.03K,2022-05-02,0.03832,0.04259,0.03764,0.03814,0.47%,
161,3.37M,2022-05-01,0.03814,0.06179,0.03695,0.03923,-2.78%,
162,198.05K,2022-04-30,0.03923,0.04345,0.03917,0.04282,-8.38%,
163,198.05K,2022-04-30,0.03923,0.04345,0.03917,0.04282,-8.38%,
164,134.48K,2022-04-29,0.04282,0.05026,0.04252,0.04849,-11.69%,
165,134.48K,2022-04-29,0.04282,0.05026,0.04252,0.04849,-11.69%,
166,195.82K,2022-04-28,0.04849,0.05098,0.04587,0.04811,0.79%,
167,195.82K,2022-04-28,0.04849,0.05098,0.04587,0.04811,0.79%,
168,260.35K,2022-04-27,0.04811,0.05115,0.0458,0.04997,-3.72%,
169,770.97K,2022-04-26,0.04997,0.06312,0.04879,0.05188,-3.53%,
170,487.91K,2022-04-25,0.0518,0.05645,0.0497,0.05624,-7.89%,
171,415.29K,2022-04-24,0.05624,0.06268,0.05421,0.06107,-7.91%,
172,221.17K,2022-04-23,0.06107,0.06496,0.059,0.0619,-1.34%,
173,303.77K,2022-04-22,0.0619,0.06678,0.06141,0.06581,-5.94%,
174,2.14M,2022-04-21,0.06581,0.08807,0.06486,0.06521,-1.10%,
175,129.23K,2022-04-20,0.06654,0.06774,0.0642,0.06491,2.51%,
176,350.07K,2022-04-19,0.06491,0.06889,0.06196,0.06819,-4.81%,
177,253.38K,2022-04-18,0.06819,0.06889,0.06447,0.06758,0.90%,
178,91.60K,2022-04-17,0.06758,0.07168,0.06578,0.06877,-1.73%,
179,91.60K,2022-04-17,0.06758,0.07168,0.06578,0.06877,-1.73%,
180,193.13K,2022-04-16,0.06877,0.07469,0.06759,0.06774,1.76%,
181,193.13K,2022-04-16,0.06877,0.07469,0.06759,0.06774,1.76%,
182,249.14K,2022-04-15,0.06758,0.07188,0.06691,0.06995,-3.39%,
183,249.14K,2022-04-15,0.06758,0.07188,0.06691,0.06995,-3.39%,
184,241.18K,2022-04-14,0.06995,0.07705,0.06816,0.07398,-5.45%,
185,241.18K,2022-04-14,0.06995,0.07705,0.06816,0.07398,-5.45%,
186,584.01K,2022-04-13,0.07398,0.07464,0.06544,0.06948,6.48%,
187,584.01K,2022-04-13,0.07398,0.07464,0.06544,0.06948,6.48%,
188,497.01K,2022-04-12,0.06948,0.07487,0.06573,0.06586,5.43%,
189,16.39M,2022-04-11,0.0659,0.08223,0.06563,0.0816,-19.40%,
190,16.39M,2022-04-11,0.0659,0.08223,0.06563,0.0816,-19.40%,
191,21.29M,2022-04-10,0.08176,0.0989,0.08118,0.08163,0.23%,
192,21.29M,2022-04-10,0.08176,0.0989,0.08118,0.08163,0.23%,
193,21.07M,2022-04-09,0.08157,0.08384,0.07789,0.07886,3.15%,
194,21.07M,2022-04-09,0.08157,0.08384,0.07789,0.07886,3.15%,
195,22.91M,2022-04-08,0.07908,0.08575,0.07877,0.08414,-5.89%,
196,22.91M,2022-04-08,0.07908,0.08575,0.07877,0.08414,-5.89%,
197,22.88M,2022-04-07,0.08403,0.08943,0.08264,0.08838,-4.92%,
198,22.88M,2022-04-07,0.08403,0.08943,0.08264,0.08838,-4.92%,
199,14.54M,2022-04-06,0.08838,0.09229,0.08518,0.09142,-3.33%,
200,14.54M,2022-04-06,0.08838,0.09229,0.08518,0.09142,-3.33%,
201,366.15K,2022-04-05,0.09142,0.09494,0.08998,0.0905,1.02%,
202,366.15K,2022-04-05,0.09142,0.09494,0.08998,0.0905,1.02%,
203,836.02K,2022-04-04,0.0905,0.09411,0.08852,0.0935,-3.21%,
204,836.02K,2022-04-04,0.0905,0.09411,0.08852,0.0935,-3.21%,
205,525.90K,2022-04-03,0.0935,0.0942,0.08746,0.09301,0.53%,
206,525.90K,2022-04-03,0.0935,0.0942,0.08746,0.09301,0.53%,
207,406.74K,2022-04-02,0.09301,0.10226,0.093,0.0999,-6.90%,
208,312.43K,2022-04-01,0.0999,0.10165,0.09336,0.09715,2.83%,
209,671.32K,2022-03-31,0.09715,0.1022,0.0932,0.09386,3.51%,
210,20.75M,2022-03-30,0.09386,0.10594,0.09052,0.09057,3.52%,
211,26.89M,2022-03-29,0.09067,0.09971,0.09042,0.09642,-6.06%,
212,23.00M,2022-03-28,0.09652,0.102,0.08702,0.08769,9.96%,
213,19.59M,2022-03-27,0.08778,0.09168,0.0877,0.09151,-4.08%,
214,19.03M,2022-03-26,0.09151,0.0942,0.08515,0.09207,-0.69%,
215,25.25M,2022-03-25,0.09215,0.09488,0.0897,0.09163,0.50%,
216,17.80M,2022-03-24,0.09169,0.09787,0.08637,0.087,5.39%,
217,480.53K,2022-03-23,0.087,0.09141,0.08594,0.08895,-2.19%,
218,246.47K,2022-03-22,0.08895,0.08968,0.08579,0.08745,1.72%,
219,233.91K,2022-03-21,0.08745,0.08877,0.08422,0.0852,2.64%,
220,498.27K,2022-03-13,0.08209,0.08745,0.08088,0.08579,-4.31%,
221,434.12K,2022-03-12,0.08579,0.08745,0.08089,0.08359,2.63%,
222,434.12K,2022-03-12,0.08579,0.08745,0.08089,0.08359,2.63%,
223,291.97K,2022-03-11,0.08359,0.08901,0.08332,0.08839,-5.43%,
224,17.77M,2022-03-10,0.08839,0.09737,0.08484,0.09677,-8.66%,
225,22.87M,2022-03-09,0.09677,0.09737,0.08467,0.08774,10.29%,
226,2.93M,2022-03-08,0.08774,0.09737,0.08645,0.08887,-1.63%,
227,926.36K,2022-03-07,0.08919,0.11256,0.08597,0.10753,-17.06%,
228,250.75K,2022-03-06,0.10753,0.11866,0.10752,0.11851,-9.27%,
229,953.62K,2022-03-05,0.11851,0.12048,0.10707,0.111,6.77%,
230,1.65M,2022-03-04,0.111,0.12457,0.1063,0.10789,2.88%,
231,708.51K,2022-03-03,0.10789,0.11271,0.10666,0.1122,-3.84%,
232,8.90M,2022-03-02,0.1122,0.11676,0.10788,0.11264,-0.39%,
233,13.48M,2022-03-01,0.11264,0.11978,0.10804,0.11078,1.68%,
234,15.18M,2022-02-28,0.11078,0.11403,0.10317,0.10512,5.70%,
235,19.09M,2022-02-27,0.10481,0.11899,0.09894,0.10018,4.64%,
236,15.40M,2022-02-26,0.10016,0.10298,0.09842,0.1004,-0.24%,
237,9.91M,2022-02-25,0.1004,0.10391,0.09561,0.0985,1.93%,
238,12.26M,2022-02-24,0.0985,0.10573,0.09518,0.10239,-3.80%,
239,10.49M,2022-02-23,0.10239,0.11147,0.0996,0.10067,1.91%,
240,11.63M,2022-02-22,0.10047,0.10976,0.09914,0.10921,-7.99%,
241,11.63M,2022-02-22,0.10047,0.10976,0.09914,0.10921,-7.99%,
242,12.08M,2022-02-21,0.1092,0.11965,0.10881,0.11406,-4.29%,
243,12.08M,2022-02-21,0.1092,0.11965,0.10881,0.11406,-4.29%,
244,13.26M,2022-02-20,0.1141,0.12148,0.11301,0.11723,-2.69%,
245,13.26M,2022-02-20,0.1141,0.12148,0.11301,0.11723,-2.69%,
246,12.16M,2022-02-19,0.11725,0.1195,0.11608,0.11779,-0.45%,
247,15.44M,2022-02-18,0.11778,0.12285,0.11606,0.12063,-2.44%,
248,14.68M,2022-02-17,0.12073,0.13175,0.12001,0.12727,-5.01%,
249,16.18M,2022-02-16,0.1271,0.13501,0.12303,0.13107,-3.21%,
250,14.88M,2022-02-15,0.13131,0.13998,0.12546,0.12617,4.23%,
251,14.88M,2022-02-15,0.13131,0.13998,0.12546,0.12617,4.23%,
252,15.76M,2022-02-14,0.12598,0.1331,0.12247,0.13006,-4.50%,
253,18.57M,2022-02-13,0.13192,0.15304,0.11329,0.11599,14.02%,
254,18.57M,2022-02-13,0.13192,0.15304,0.11329,0.11599,14.02%,
255,19.46M,2022-02-12,0.1157,0.12145,0.11245,0.117,-1.10%,
256,19.46M,2022-02-12,0.1157,0.12145,0.11245,0.117,-1.10%,
257,20.45M,2022-02-11,0.11699,0.1433,0.11572,0.13788,-15.02%,
258,20.45M,2022-02-11,0.11699,0.1433,0.11572,0.13788,-15.02%,
259,18.44M,2022-02-10,0.13767,0.14372,0.118,0.1269,8.65%,
260,15.43M,2022-02-09,0.12671,0.1459,0.11865,0.12108,4.29%,
261,16.91M,2022-02-08,0.1215,0.1339,0.11528,0.13282,-8.36%,
262,17.36M,2022-02-07,0.13259,0.15453,0.13115,0.14262,-7.66%,
263,19.15M,2022-02-06,0.14359,0.1573,0.10736,0.10884,32.07%,
264,14.68M,2022-02-05,0.10872,0.11176,0.10628,0.1109,-1.68%,
265,17.16M,2022-02-04,0.11058,0.11781,0.09365,0.09723,13.92%,
266,17.45M,2022-02-03,0.09707,0.09773,0.09194,0.09751,-0.45%,
267,643.86K,2022-01-31,0.10425,0.11724,0.09366,0.09719,7.26%,
268,2.76M,2022-01-30,0.09719,0.13458,0.09222,0.09222,5.39%,
269,220.58K,2022-01-29,0.09222,0.0942,0.0896,0.0917,0.57%,
270,117.70K,2022-01-28,0.0917,0.09398,0.08828,0.09009,1.79%,
271,164.32K,2022-01-27,0.09009,0.09148,0.086,0.08767,2.76%,
272,2.03M,2022-01-26,0.08767,0.10855,0.08102,0.08409,4.26%,
273,3.58M,2022-01-25,0.08409,0.138,0.06975,0.07273,15.62%,
274,244.19K,2022-01-24,0.07273,0.07677,0.06405,0.07491,-2.91%,
275,328.23K,2022-01-23,0.07491,0.08636,0.0705,0.07607,-1.52%,
276,429.49K,2022-01-22,0.07607,0.10243,0.0698,0.09925,-23.36%,
277,391.95K,2022-01-21,0.09925,0.12579,0.0944,0.12307,-19.35%,
278,177.04K,2022-01-20,0.12307,0.12747,0.1223,0.12305,0.02%,
279,128.00K,2022-01-19,0.12305,0.1262,0.12113,0.12445,-1.12%,
280,234.80K,2022-01-18,0.12445,0.12759,0.12301,0.12759,-2.46%,
281,418.52K,2022-01-17,0.12759,0.13288,0.1235,0.13151,-2.98%,
282,401.73K,2022-01-16,0.13151,0.13607,0.12871,0.13444,-2.18%,
283,804.68K,2022-01-15,0.13444,0.13818,0.12701,0.13088,2.72%,
284,2.97M,2022-01-14,0.13088,0.18,0.1251,0.13862,-5.58%,
285,9.71M,2022-01-13,0.13862,0.14321,0.1271,0.13935,-0.77%,
286,14.62M,2022-01-12,0.13969,0.14494,0.12402,0.12999,7.48%,
287,16.35M,2022-01-11,0.12997,0.13546,0.12718,0.12752,1.69%,
288,12.13M,2022-01-10,0.12781,0.14691,0.1236,0.12726,0.81%,
289,5.67M,2022-01-09,0.12678,0.13282,0.12386,0.126,0.81%,
290,5.86M,2022-01-08,0.12576,0.13619,0.12418,0.13268,-5.22%,
291,5.91M,2022-01-07,0.13268,0.13564,0.12825,0.13512,-1.81%,
292,6.13M,2022-01-06,0.13512,0.14149,0.13024,0.141,-4.04%,
